internalCrashID:ID(Crash),crashID_orig,year,month,dayweek,time,crashType,numberFatalities,busInvolvement,heavyRigidTruckInvolvement,articulatedTruckInvolvement,speedLimit,nationalRoadType,christmasPeriod,easterPeriod,nationalRemotenessAreas,dayOfWeekType,timeOfDay,:LABEL
158,20241097,2024,7,Wednesday,13:00,Single,1,no,no,no,100,Arterial Road,no,no,Inner Regional Australia,Weekday,Day,Crash
159,20241250,2024,7,Wednesday,14:15,Single,1,no,no,no,70,Arterial Road,no,no,Major Cities of Australia,Weekday,Day,Crash
160,20241047,2024,6,Friday,17:15,Single,1,no,no,no,50,Collector Road,no,no,Major Cities of Australia,Weekday,Day,Crash
161,20241205,2024,6,Friday,17:45,Single,1,no,no,no,60,Arterial Road,no,no,Major Cities of Australia,Weekday,Day,Crash
162,20241024,2024,6,Friday,18:20,Single,1,no,no,no,60,Arterial Road,no,no,Major Cities of Australia,Weekend,Night,Crash
163,20241070,2024,6,Monday,9:30,Single,1,no,no,no,100,Arterial Road,no,no,Outer Regional Australia,Weekday,Day,Crash
164,20241142,2024,6,Monday,15:15,Single,1,no,no,no,80,Arterial Road,no,no,Inner Regional Australia,Weekday,Day,Crash
165,20241124,2024,6,Monday,15:20,Single,1,no,no,no,100,National or State Highway,no,no,Inner Regional Australia,Weekday,Day,Crash
166,20241010,2024,6,Monday,17:20,Single,1,no,yes,yes,110,National or State Highway,no,no,Outer Regional Australia,Weekday,Day,Crash
167,20241252,2024,6,Monday,19:10,Single,1,no,no,no,80,Sub-arterial Road,no,no,Inner Regional Australia,Weekday,Night,Crash
168,20241198,2024,6,Sunday,9:13,Single,1,no,no,no,70,Arterial Road,no,no,Major Cities of Australia,Weekend,Day,Crash
169,20241100,2024,6,Sunday,12:09,Single,1,no,no,no,50,Collector Road,no,no,Major Cities of Australia,Weekend,Day,Crash
170,20241074,2024,6,Sunday,12:15,Single,1,no,no,no,80,Arterial Road,no,no,Inner Regional Australia,Weekend,Day,Crash
171,20241035,2024,6,Sunday,23:15,Single,1,no,no,no,50,Access road,no,no,Major Cities of Australia,Weekend,Night,Crash
