personID:ID(Person),roadUser,gender,age,ageGroup,:LABEL
1885,Passenger,Male,34,26_to_39,Person
1886,Motorcycle rider,Male,36,26_to_39,Person
1887,Driver,Male,48,40_to_64,Person
1888,Driver,Female,24,17_to_25,Person
1889,Motorcycle rider,Male,66,65_to_74,Person
1890,Pedal cyclist,Male,68,65_to_74,Person
1891,Driver,Male,40,40_to_64,Person
1892,Pedal cyclist,Male,59,40_to_64,Person
1893,Motorcycle rider,Male,31,26_to_39,Person
1894,Motorcycle rider,Male,19,17_to_25,Person
1895,Passenger,Female,66,65_to_74,Person
1896,Driver,Male,82,75_or_older,Person
1897,Driver,Female,65,65_to_74,Person
1898,Motorcycle rider,Female,61,40_to_64,Person
1899,Driver,Male,28,26_to_39,Person
1900,Driver,Male,52,40_to_64,Person
1901,Driver,Male,73,65_to_74,Person
1902,Passenger,Female,48,40_to_64,Person
1903,Motorcycle rider,Male,28,26_to_39,Person
1904,Driver,Female,43,40_to_64,Person
1905,Pedestrian,Male,25,17_to_25,Person
1906,Driver,Male,69,65_to_74,Person
1907,Driver,Male,20,17_to_25,Person
1908,Driver,Female,50,40_to_64,Person
1909,Driver,Male,18,17_to_25,Person
1910,Driver,Female,20,17_to_25,Person
1911,Driver,Female,22,17_to_25,Person
1912,Driver,Female,31,26_to_39,Person
1913,Passenger,Male,51,40_to_64,Person
1914,Driver,Female,43,40_to_64,Person
1915,Driver,Male,47,40_to_64,Person
1916,Driver,Male,55,40_to_64,Person
1917,Motorcycle rider,Male,57,40_to_64,Person
1918,Driver,Male,31,26_to_39,Person
1919,Motorcycle rider,Male,61,40_to_64,Person
1920,Driver,Female,33,26_to_39,Person
1921,Motorcycle rider,Male,68,65_to_74,Person
1922,Driver,Male,71,65_to_74,Person
1923,Driver,Female,29,26_to_39,Person
1924,Driver,Female,35,26_to_39,Person
1925,Motorcycle rider,Male,50,40_to_64,Person
1926,Driver,Male,20,17_to_25,Person
1927,Motorcycle rider,Male,27,26_to_39,Person
1928,Driver,Female,21,17_to_25,Person
