:START_ID(Crash),:END_ID(SA4),:TYPE
236,Adelaide - Central and Hills,OCCURRED_IN_SA4
237,Sydney - Outer West and Blue Mountains,OCCURRED_IN_SA4
238,Brisbane - South,OCCURRED_IN_SA4
239,Brisbane - South,OCCURRED_IN_SA4
240,Moreton Bay - North,OCCURRED_IN_SA4
241,Central Coast,OCCURRED_IN_SA4
242,Illawarra,OCCURRED_IN_SA4
243,Central Coast,OCCURRED_IN_SA4
244,Richmond - Tweed,OCCURRED_IN_SA4
245,Far West and Orana,OCCURRED_IN_SA4
246,Shepparton,OCCURRED_IN_SA4
247,Melbourne - North West,OCCURRED_IN_SA4
248,Riverina,OCCURRED_IN_SA4
249,Logan - Beaudesert,OCCURRED_IN_SA4
250,South East,OCCURRED_IN_SA4
251,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
252,Riverina,OCCURRED_IN_SA4
253,Hume,OCCURRED_IN_SA4
254,Sunshine Coast,OCCURRED_IN_SA4
255,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
256,Melbourne - Inner,OCCURRED_IN_SA4
257,Hume,OCCURRED_IN_SA4
258,Ballarat,OCCURRED_IN_SA4
259,Southern Highlands and Shoalhaven,OCCURRED_IN_SA4
260,Melbourne - South East,OCCURRED_IN_SA4
261,Central Queensland,OCCURRED_IN_SA4
262,Melbourne - Outer East,OCCURRED_IN_SA4
263,Murray,OCCURRED_IN_SA4
264,Richmond - Tweed,OCCURRED_IN_SA4
265,Wide Bay,OCCURRED_IN_SA4
266,New England and North West,OCCURRED_IN_SA4
267,South East,OCCURRED_IN_SA4
268,Mornington Peninsula,OCCURRED_IN_SA4
269,Sydney - South West,OCCURRED_IN_SA4
270,Adelaide - Central and Hills,OCCURRED_IN_SA4
271,South Australia - South East,OCCURRED_IN_SA4
272,Melbourne - Outer East,OCCURRED_IN_SA4
273,Mackay - Isaac - Whitsunday,OCCURRED_IN_SA4
274,Wide Bay,OCCURRED_IN_SA4
275,Melbourne - West,OCCURRED_IN_SA4
276,Mornington Peninsula,OCCURRED_IN_SA4
277,Townsville,OCCURRED_IN_SA4
278,Brisbane - South,OCCURRED_IN_SA4
279,Melbourne - Outer East,OCCURRED_IN_SA4
280,Mid North Coast,OCCURRED_IN_SA4
281,Melbourne - North East,OCCURRED_IN_SA4
282,Queensland - Outback,OCCURRED_IN_SA4
283,Darling Downs - Maranoa,OCCURRED_IN_SA4
284,Melbourne - Outer East,OCCURRED_IN_SA4
285,Melbourne - South East,OCCURRED_IN_SA4
286,Far West and Orana,OCCURRED_IN_SA4
287,Wide Bay,OCCURRED_IN_SA4
288,Sydney - Blacktown,OCCURRED_IN_SA4
